,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
86,FF,2024-10-03,98.6,-2.34,4.63,"Díaz, Edwin",641343,621242,,ball,,,,,11,Jake Bauers strikes out swinging.,F,L,R,MIL,NYM,B,,,0,2,2024,-0.88,1.27,-2.0,4.1,,,,2,8,Bot,,,,,,,3.00833857195335,-143.51056104562508,1.11172506267178,-12.872273894420534,35.931873208305916,-15.25087355133739,3.62,1.67,,,,99.7,2380,7.1,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.43,,,,,,,,60,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,235,0.0,0.009,,,,-0.009,,2,2,0.932,0.932,30,28,30,29,1,1,3,2,3,,1.09,0.88,-0.88,14.0
89,FF,2024-10-03,98.8,-2.3,4.62,"Díaz, Edwin",641343,621242,,called_strike,,,,,7,Jake Bauers strikes out swinging.,F,L,R,MIL,NYM,S,,,0,1,2024,-1.13,1.15,-0.79,2.0,,,,2,8,Bot,,,,,,,6.892214899173759,-143.69872678676018,-4.403972014133215,-17.310020606739755,36.14620978860929,-15.457066267177725,3.65,1.79,,,,100.1,2426,7.2,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.29,,,,,,,,60,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,234,0.0,-0.022,,,,0.022,,2,2,0.932,0.932,30,28,30,29,1,1,3,2,3,,1.21,1.13,-1.13,18.1
91,FF,2024-10-03,98.8,-2.27,4.74,"Díaz, Edwin",641343,621242,,swinging_strike,,,,,12,Jake Bauers strikes out swinging.,F,L,R,MIL,NYM,S,,,0,0,2024,-0.79,1.33,0.1,3.79,,,,2,8,Bot,,,,,,,8.407823208623284,-143.51175070044917,-0.1705011649082291,-13.018504292384629,37.07477078142599,-14.092756474652552,3.47,1.62,,,,99.7,2411,7.1,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.38,,,,,,,,60,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,225,0.0,-0.016,71.7,6.0,,0.016,,2,2,0.932,0.932,30,28,30,29,1,1,3,2,3,,1.03,0.79,-0.79,19.0
96,SL,2024-10-03,90.0,-2.25,4.87,"Díaz, Edwin",596142,621242,field_out,hit_into_play,,,,,5,"Gary Sánchez grounds out, pitcher Edwin Díaz to first baseman Pete Alonso.",F,R,R,MIL,NYM,X,1,ground_ball,2,2,2024,0.13,0.34,-0.06,2.63,,,,1,8,Bot,126.03,201.75,,,,,5.219062740389595,-131.0764896439631,-0.3325852155656383,0.4484341380789843,26.808614177679782,-28.36549868022612,3.36,1.58,6,78.2,-23,91.1,2223,6.8,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.67,0.054,0.043,0.0,1,0,0,2,59,6,Slider,2,0,2,0,0,2,2,0,Standard,Standard,185,-0.005,-0.142,57.2,6.2,0.071,0.142,88.0,2,2,0.937,0.937,30,31,30,32,1,3,3,1,3,,2.46,-0.13,-0.13,23.5
100,FF,2024-10-03,98.6,-2.12,4.71,"Díaz, Edwin",596142,621242,,foul,,,,,11,"Gary Sánchez grounds out, pitcher Edwin Díaz to first baseman Pete Alonso.",F,R,R,MIL,NYM,S,,,2,2,2024,-0.85,1.34,-0.11,3.75,,,,1,8,Bot,,,,,,,7.572680019144528,-143.49360289671185,-0.2537359646887362,-13.449996688824427,33.70362619683413,-13.82650480731104,3.36,1.58,116,81.8,15,100.3,2424,7.3,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.24,,,,,,,,59,5,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,232,0.0,0.0,45.7,5.0,,0.0,88.0,2,2,0.937,0.937,30,31,30,32,1,3,3,1,3,,1.01,0.85,0.85,14.2
103,SL,2024-10-03,91.2,-2.12,4.89,"Díaz, Edwin",596142,621242,,ball,,,,,14,"Gary Sánchez grounds out, pitcher Edwin Díaz to first baseman Pete Alonso.",F,R,R,MIL,NYM,B,,,1,2,2024,0.11,0.54,1.79,1.17,,,,1,8,Bot,,,,,,,9.736650696440435,-132.47425257942805,-4.68619504891149,-0.7218297505420057,26.874866620761665,-24.987823912077932,3.33,1.54,,,,92.5,2275,7.1,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.43,,,,,,,,59,4,Slider,2,0,2,0,0,2,2,0,Standard,Standard,211,0.0,0.027,,,,-0.027,,2,2,0.937,0.937,30,31,30,32,1,3,3,1,3,,2.2,-0.11,-0.11,23.6
108,SL,2024-10-03,90.4,-2.14,4.97,"Díaz, Edwin",596142,621242,,swinging_strike,,,,,14,"Gary Sánchez grounds out, pitcher Edwin Díaz to first baseman Pete Alonso.",F,R,R,MIL,NYM,S,,,1,1,2024,0.07,0.4,1.14,1.35,,,,1,8,Bot,,,,,,,8.117719802655335,-131.49284937671922,-4.005413899997946,-0.8166501944465682,25.55380999438901,-26.86529026256868,3.36,1.58,,,,91.7,2232,6.9,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.57,,,,,,,,59,3,Slider,2,0,2,0,0,2,2,0,Standard,Standard,226,0.0,-0.039,77.5,8.1,,0.039,,2,2,0.937,0.937,30,31,30,32,1,3,3,1,3,,2.37,-0.07,-0.07,24.3
112,SL,2024-10-03,91.4,-2.17,4.97,"Díaz, Edwin",596142,621242,,ball,,,,,14,"Gary Sánchez grounds out, pitcher Edwin Díaz to first baseman Pete Alonso.",F,R,R,MIL,NYM,B,,,0,1,2024,-0.03,0.5,0.76,0.37,,,,1,8,Bot,,,,,,,7.532930165516861,-132.7844512846469,-6.85156138936568,-1.980947111721311,28.433069359945897,-24.913490359830845,3.33,1.57,,,,92.3,2358,6.9,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.59,,,,,,,,59,2,Slider,2,0,2,0,0,2,2,0,Standard,Standard,221,0.0,0.015,,,,-0.015,,2,2,0.937,0.937,30,31,30,32,1,3,3,1,3,,2.23,0.03,0.03,24.2
114,FF,2024-10-03,98.1,-2.29,4.67,"Díaz, Edwin",596142,621242,,called_strike,,,,,8,"Gary Sánchez grounds out, pitcher Edwin Díaz to first baseman Pete Alonso.",F,R,R,MIL,NYM,S,,,0,0,2024,-1.06,1.22,0.13,2.09,,,,1,8,Bot,,,,,,,9.146542280426647,-142.4352578952922,-4.352281734495634,-16.526835460142795,34.55109255554918,-14.75730560042586,3.36,1.6,,,,99.3,2349,7.2,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.31,,,,,,,,59,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,231,0.0,-0.023,,,,0.023,,2,2,0.937,0.937,30,31,30,32,1,3,3,1,3,,1.17,1.06,1.06,18.8
118,SL,2024-10-03,89.1,-2.25,4.92,"Díaz, Edwin",642715,621242,strikeout,swinging_strike,,,,,7,Willy Adames strikes out swinging.,F,R,R,MIL,NYM,S,2,,2,2,2024,0.18,0.24,-0.72,1.87,,,,0,8,Bot,,,,,,,3.421940269455925,-129.79026877152083,-1.9898839643372483,1.3603196455403928,26.40316114323439,-29.29088892194029,3.43,1.7,,,,90.2,2274,6.9,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.64,,0.0,0.0,1,0,0,,58,9,Slider,2,0,2,0,0,2,2,0,Standard,Standard,156,-0.005,-0.203,71.8,9.4,,0.203,,2,2,0.942,0.942,30,28,30,29,1,3,3,1,3,,2.62,-0.18,-0.18,20.0
123,SL,2024-10-03,89.3,-2.24,4.93,"Díaz, Edwin",642715,621242,,foul,,,,,4,Willy Adames strikes out swinging.,F,R,R,MIL,NYM,S,,,2,2,2024,0.29,0.2,-0.29,2.68,,,,0,8,Bot,,,,,,,4.215787644336748,-130.14289645286553,-0.0053963018626363,2.492462187740136,25.741439888626996,-30.036829630547853,3.43,1.7,212,78.9,54,90.5,2317,6.8,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.69,,,,,,,,58,8,Slider,2,0,2,0,0,2,2,0,Standard,Standard,150,0.0,0.0,72.9,7.3,,0.0,88.0,2,2,0.942,0.942,30,28,30,29,1,3,3,1,3,,2.63,-0.29,-0.29,21.1
127,FF,2024-10-03,97.9,-2.23,4.71,"Díaz, Edwin",642715,621242,,foul,,,,,1,Willy Adames strikes out swinging.,F,R,R,MIL,NYM,S,,,2,2,2024,-1.0,1.22,-0.77,3.06,,,,0,8,Bot,,,,,,,6.354467521482829,-142.48633380841952,-1.762164303613809,-15.158480735625762,33.78936562948177,-15.421442738442469,3.43,1.7,165,70.1,63,99.3,2396,7.1,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.37,,,,,,,,58,7,4-Seam Fastball,2,0,2,0,0,2,2,0,Strategic,Standard,227,0.0,0.0,69.5,6.9,,0.0,88.0,2,2,0.942,0.942,30,28,30,29,1,3,3,1,3,,1.17,1.0,1.0,18.5
